DATE,MABMM301USM189S
1997-12-01,4033300000000.0
1998-01-01,4056600000000.0
1998-02-01,4089300000000.0
1998-03-01,4114700000000.0
1998-04-01,4140600000000.0005
1998-05-01,4164800000000.0
1998-06-01,4184600000000.0005
1998-07-01,4204399999999.9995
1998-08-01,4229300000000.0
1998-09-01,4268200000000.0
1998-10-01,4308399999999.9995
1998-11-01,4347000000000.0
1998-12-01,4375899999999.9995
1999-01-01,4403300000000.0
1999-02-01,4426000000000.0
1999-03-01,4432700000000.0
1999-04-01,4461400000000.0
1999-05-01,4486000000000.0
1999-06-01,4507800000000.0
1999-07-01,4535200000000.0
1999-08-01,4552400000000.0
1999-09-01,4568400000000.0
1999-10-01,4592200000000.0
1999-11-01,4611200000000.0
1999-12-01,4638700000000.0
2000-01-01,4666900000000.0
2000-02-01,4680100000000.0
2000-03-01,4710800000000.0
2000-04-01,4766800000000.0
2000-05-01,4754600000000.0
2000-06-01,4772400000000.0
2000-07-01,4790000000000.0
2000-08-01,4818100000000.0
2000-09-01,4853800000000.0
2000-10-01,4869700000000.0
2000-11-01,4880600000000.0
2000-12-01,4925200000000.0
2001-01-01,4975800000000.0
2001-02-01,5014100000000.0
2001-03-01,5071900000000.0
2001-04-01,5135900000000.0
2001-05-01,5132900000000.0
2001-06-01,5173200000000.0
2001-07-01,5203200000000.0
2001-08-01,5237100000000.0
2001-09-01,5348200000000.0
2001-10-01,5336800000000.0
2001-11-01,5380400000000.0
2001-12-01,5433500000000.0
2002-01-01,5453900000000.0
2002-02-01,5483300000000.0
2002-03-01,5495200000000.0
2002-04-01,5495500000000.0
2002-05-01,5521600000000.0
2002-06-01,5546600000000.0
2002-07-01,5589200000000.0
2002-08-01,5631600000000.0
2002-09-01,5656000000000.0
2002-10-01,5700600000000.0
2002-11-01,5750700000000.0
2002-12-01,5772000000000.0
2003-01-01,5804500000000.0
2003-02-01,5840700000000.0
2003-03-01,5861500000000.0
2003-04-01,5898800000000.0
2003-05-01,5959200000000.0
2003-06-01,5995900000000.0
2003-07-01,6042600000000.0
2003-08-01,6100700000000.0
2003-09-01,6072700000000.0
2003-10-01,6063600000000.0
2003-11-01,6068800000000.0
2003-12-01,6067000000000.0
2004-01-01,6075500000000.0
2004-02-01,6114300000000.0
2004-03-01,6150000000000.0
2004-04-01,6191100000000.0
2004-05-01,6267900000000.0
2004-06-01,6270200000000.0
2004-07-01,6283900000000.0
2004-08-01,6310000000000.0
2004-09-01,6344700000000.0
2004-10-01,6372900000000.0
2004-11-01,6399400000000.0
2004-12-01,6417900000000.0
2005-01-01,6424100000000.0
2005-02-01,6432500000000.0
2005-03-01,6441500000000.0
2005-04-01,6455700000000.0
2005-05-01,6473100000000.0
2005-06-01,6505500000000.0
2005-07-01,6537100000000.0
2005-08-01,6569800000000.0
2005-09-01,6604000000000.0
2005-10-01,6638100000000.0
2005-11-01,6654500000000.0
2005-12-01,6681200000000.0
2006-01-01,6723600000000.0
2006-02-01,6747900000000.0
2006-03-01,6762300000000.0
2006-04-01,6799600000000.0
2006-05-01,6806300000000.0
2006-06-01,6844400000000.0
2006-07-01,6885800000000.0
2006-08-01,6916600000000.0
2006-09-01,6943700000000.0
2006-10-01,6992800000000.0
2006-11-01,7027600000000.0
2006-12-01,7070700000000.0
2007-01-01,7108500000000.0
